,gammaE,gammaN,gammaBW,repRate,laserWavelength,laserN,laserPulseEnergy,laserAvgPower,laserHarmonicEff,accElectronE,accAvgCurrent,accLength,accAvgPower,accPeakPower,accElectronN,accGrad,accShuntZ
76,10.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,4.335844114043712,5.205463165286895,226.9283804406525,386.23805395619996,27065194219998.203,100.0,160.0
77,10.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,4.335844114043712,3.47030877685793,332.0606010998629,565.175850262937,27065194219998.203,150.0,160.0
78,10.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,4.335844114043712,5.205463165286895,112.23868517605936,191.0331852579413,27065194219998.203,100.0,352.0
79,10.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,4.335844114043712,3.47030877685793,160.02605820297316,272.3685472155491,27065194219998.203,150.0,352.0
80,10.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,260.40346574140085,4.248179150878649,988.3563778678428,1682.2084715080805,1625489798635461.0,100.0,160.0
81,10.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,260.40346574140085,2.8321194339190994,1074.1547965116172,1828.2396298195342,1625489798635461.0,150.0,160.0
82,10.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,260.40346574140085,4.248179150878649,894.7581029837257,1522.9017533501315,1625489798635461.0,100.0,352.0
83,10.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,260.40346574140085,2.8321194339190994,933.7573841854411,1589.27955258261,1625489798635461.0,150.0,352.0
84,10.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,130.20173287070043,4.248179150878649,579.9766075776957,987.135394065494,812744899317730.5,100.0,160.0
85,10.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,130.20173287070043,2.8321194339190994,665.7750262214698,1133.1665523769473,812744899317730.5,150.0,160.0
86,10.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,130.20173287070043,4.248179150878649,486.37833269357833,827.8286759075445,812744899317730.5,100.0,352.0
87,10.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,130.20173287070043,2.8321194339190994,525.377613895294,894.2064751400235,812744899317730.5,150.0,352.0
88,10.0,100000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,86.71688228087426,5.205463165286895,543.5432237630564,925.1248194679912,541303884399964.1,100.0,160.0
